104875773	voice
102391313	language
110150009	voice
118178254	voice
118177692	voice
110172376	voice
124558175	language
116175522	language
110238783	voice
110141406	voice
110126561	voice
110134664	voice
104891389	voice
110237271	voice
110146601	voice
107067791	language
110139548	voice
101036479	language
107069175	language
109919041	language
107068700	language
110170468	voice
104885726	voice
107088304	language
118176781	voice
110180494	voice
110178561	voice
104768709	voice
110101081	voice
110176285	voice
110182098	voice
104767901	voice
110237381	voice
124885660	voice
110180801	voice
110172344	voice
110157395	voice
110169602	voice
110173321	voice
110124613	voice
110131248	voice
110243713	voice
110243515	voice
124304348	language
110117136	voice
110171510	voice
110244541	voice
110242271	voice
110240591	voice
110242114	voice
110241463	voice
110239431	voice
110239456	voice
110239197	voice
110243444	voice
110246286	voice
110139509	voice
110238954	voice
110155245	voice
110239812	voice
110245176	voice
110127363	voice
110132631	voice
104886607	voice
110244525	voice
110237313	voice
110173133	voice
104881591	voice
110241603	voice
110245242	voice
110244122	voice
110241493	voice
110243304	voice
110242523	voice
110241134	voice
110243633	voice
110246949	voice
110239689	voice
110245999	voice
104874778	voice
110242026	voice
104879323	language
110240812	voice
110240076	voice
110091151	voice
110113742	voice
110240256	voice
110241577	voice
101645748	language
110241479	voice
110239725	voice
113305535	language
110111265	voice
110156517	voice
110123190	voice
104768568	voice
110132608	voice
110245959	voice
110110991	voice
110245757	voice
110171540	voice
110145154	voice
124304533	language
110169547	voice
110245856	voice
110238855	voice
104890836	voice
104891665	voice
110123251	voice
110110123	voice
110148310	voice
110180657	voice
113357825	voice
124558550	language
110173948	voice
110166877	voice
110170526	voice
110144749	voice
110174604	voice
124301614	language
110155008	voice
110150066	voice
104875045	voice
107067455	language
110157432	voice
110240826	voice
110097112	voice
118175493	voice
110150247	voice
116599163	language
110174581	voice
104885569	voice
110183115	voice
110161986	voice
110110054	voice
100905052	voice
110169737	voice
124584609	language
110168991	voice
124581311	language
107088375	language
110223370	voice
109909275	language
110165155	voice
110155449	voice
110183349	voice
110180539	voice
104874831	voice
124582807	language
101684843	voice
110154974	voice
106744514	voice
104881989	voice
110090836	voice
110090673	voice
101507037	voice
